SMILES,ExcitationEnergy,OscillatorStrength,score,RAscore,SCScore,SAscore,FSScore,SYBA
O=CC(=O)CCC(F)(F)F,4.433,0.527,2.336191,0.9996830224990845,2.494193681560781,2.880125982060129,2.498046875,10.606739213837697
NC(=O)N1CC1,3.465,0.6,2.0789999999999997,1.0,1.9053210577857929,1.9252874713630845,5.21875,18.00417181666762
O=C1NC(O)CCCO1,3.001,0.643,1.929643,0.9999995231628418,1.7143841003400766,3.5119753858372222,7.8828125,-28.89414843555291
CS(=O)(=O)N1CCOCS1,7.198,0.262,1.885876,0.9999887943267822,2.535521914158918,3.8233206487267957,5.7890625,-20.402229837317023
O=C[SH]1(=O)BC=CC=C1CCCC1CO1,6.149,0.298,1.8324019999999999,0.9811140894889832,2.9286977496625477,5.5072581677452535,-2.669921875,-28.629540062837332
N#CC1=CC=C(S(=O)(=O)NO)CC1,6.589,0.248,1.6340720000000002,0.11632485687732697,2.4105235178152187,3.7276810686901447,2.48046875,-22.599547109955175
CC1C(=O)C(=O)N1CC=O,2.359,0.668,1.575812,0.9994366765022278,2.445916724308724,3.7089688872990134,0.207275390625,-21.723895403931117
CN1CCNC1,1.705,0.923,1.5737150000000002,1.0,1.8366626175110845,3.3070771546210036,7.36328125,-20.190883300526295
O=CSNN1C=Cc2ccccc2C1,4.75,0.322,1.5295,0.9978566765785217,2.771182630997973,3.6734929684313498,0.7373046875,-39.47355416130878
O=CC(CO)NCC1=NCC=CC(F)=C1,3.964,0.374,1.482536,0.00281263398937881,3.4610691406329326,4.438786739173825,-6.17578125,-70.38775251200934
CN(C)C(=O)Oc1ccco1,5.847,0.253,1.4792910000000001,0.9999974966049194,1.9525550234917683,2.750878797835691,7.7578125,26.318859522202068
O=C1CCCc2ccccc21,3.627,0.395,1.432665,1.0,1.6071640741898388,1.682875336297231,6.55859375,39.27968165620119
N#Cc1cccc(F)c1F,5.67,0.245,1.3891499999999999,1.0,1.4350549407977338,2.033807828213975,10.28125,26.9843054148811
CC1=NN=C2OCCCCC1CCCSCS2,3.915,0.318,1.2449700000000001,0.9785124063491821,3.574587065706092,5.334037845598806,-4.61328125,-34.529625607401414
CN(CCO)CNC1=CC=C2CC(CCC1)C2,7.037,0.172,1.210364,0.07712604105472565,3.648650008392397,4.741227928525602,-4.6484375,-46.84870625297645
COCCOC,2.618,0.452,1.183336,0.9999996423721313,1.2281262736267637,1.6600343944400073,12.5859375,17.875655762285216
COC(C)C,1.84,0.607,1.11688,0.9999994039535522,1.2894170967091423,1.9266759347359166,12.578125,13.29682370166648
NC(=O)N1C(=O)NCCCCCN1NCCCN1CCOCC1,4.237,0.262,1.1100940000000001,0.9862595796585083,3.5219513941839278,3.483011375361725,-9.5,25.51136111080968
CC(=O)CN(C)C,1.893,0.582,1.101726,1.0,1.569929754136774,2.3814018670670656,9.734375,16.064436535928248
CNC(=O)CO[O+]BP,6.168,0.176,1.0855679999999999,0.999997615814209,2.1649397655911304,5.396917616606454,1.064453125,12.652295704863157
CCCCN(C)C,1.845,0.584,1.07748,1.0,1.562452007618379,1.6213928172933105,6.67578125,19.16544763080373
COC(=O)N(C)C,5.411,0.186,1.006446,0.9999990463256836,1.5067209217389204,2.2503683829041705,10.890625,20.474748461471382
O=C1CC(F)O1,2.696,0.37,0.9975200000000001,0.9998382329940796,2.022197336650432,3.7410674653593663,6.80078125,-21.94961531825127
COC1=CC=CC=C(C)CCCN1C1CCCCNCCCC1,1.251,0.772,0.965772,0.2542472779750824,3.4977676820717996,3.441747551126258,-7.25,-70.85127978200683
CCCN1CCCC1,1.995,0.48,0.9576,1.0,1.929275746385373,1.5716100025557207,4.7578125,21.05284060763658
NC(=O)CCC(F)(F)F,1.607,0.595,0.9561649999999999,0.9999998807907104,2.186569399735121,2.280790244987795,5.74609375,23.639963760519247
CN1CC(=O)C[ClH]N1,1.317,0.723,0.9521909999999999,0.999984860420227,0.0,Error: Invalid SMILES string provided: CN1CC(=O)C[ClH]N1,Error: No molecule to convert to graph.,-2.3342774187849895
NCC(=O)CC=O,4.959,0.189,0.937251,1.0,2.2148050772182524,3.2902466634471557,3.466796875,-14.317081233217241
CN1CC(=O)CCCSCN1,1.342,0.691,0.927322,0.9707558155059814,3.096525544242259,4.233431446918822,0.2626953125,-28.933765781412458
COC(=O)N1C[SH]=[SH]1,1.385,0.668,0.9251800000000001,1.0,2.017423022811457,5.341844594051183,7.24609375,11.142545090568024
COC1C=CC=CNC1=O,2.478,0.369,0.914382,0.26106494665145874,2.0290086505801597,3.877033426605861,1.7734375,-67.1300661657351
CCC(=O)COC,2.478,0.369,0.914382,0.9999998807907104,1.8121592085880138,2.2791851249856165,6.32421875,17.090899667522983
O=C1CNC(=O)NCBC(CNCCCCO)=N1,1.495,0.604,0.90298,0.832080602645874,3.6340087342870024,4.389828904151092,-8.265625,-12.21766360304317
CC(C)(C)C(=O)N1CCC1,1.583,0.56,0.88648,0.999998927116394,1.9916162052307202,1.9114601359062835,7.9453125,31.523712835534873
[O-][NH+]1CCCC1,1.659,0.53,0.8792700000000001,1.0,1.4662250472739224,6.100278059598378,9.0859375,5.680999495437192
COCCOC(=O)c1cccc(C)c1,1.792,0.469,0.840448,0.9999923706054688,2.0046040481569283,1.5739492247453928,5.390625,84.97367852541633
CC(C)=O,1.365,0.612,0.83538,1.0,1.118343077658561,1.6549326618525964,12.953125,13.561592886364918
COC(=O)CNC1=CC=C(C)C(=O)C1CCCCC1CCNNC1,2.297,0.357,0.820029,0.4129141867160797,3.842823401726416,4.2639927765882835,-9.2734375,-55.38022927317773
COC(=O)CNN1CCCCn2[nH]c(c2Cl)COCN1,4.675,0.175,0.8181249999999999,0.03835345059633255,3.687186485228513,5.1520580125218265,-7.2109375,-14.79439386309421
CC(=O)C(C)C,1.358,0.6,0.8148000000000001,0.9999998807907104,1.4067616289527756,1.8307068796471082,11.4609375,16.96082766918645
O=C1CSc2ccc(Br)cc2C1,2.588,0.313,0.810044,1.0,2.2047467437460346,2.7581515161589696,3.953125,1.5922246585508675
O=C1CCCCCNC1=O,2.391,0.326,0.779466,1.0,2.3858980779249728,2.43332266337881,3.232421875,-16.30883442889478
CN1CNC(=O)C(=O)O1,5.659,0.132,0.746988,0.9996790885925293,2.5836908211899092,3.8634664687640186,4.35546875,-33.09387555224355
CCN1OC1=O,1.623,0.457,0.741711,0.9999996423721313,2.0033615023159896,3.5335090098246225,9.34375,-9.62664465277387
O=[B-]CNNN1CCC1,2.341,0.303,0.709323,0.9997730851173401,2.376303689145196,4.812996007225557,4.98046875,4.899123731284463
O=C(O)N1C=CN(Br)CCCNCCC1,2.341,0.303,0.709323,0.7038216590881348,2.8172985328026736,3.9506900358771215,-1.38671875,-39.609632155560064
