SMILES,ExcitationEnergy,OscillatorStrength,score,RAscore,SCScore,SAscore,FSScore,SYBA
OP[SH](PN1ONN[PH]1C1=CC=C1)[SH]N1PC2=CC(C(F)=[SH][S](Cl)Cl)=CC21Cl,2.4189944047927856,0.6071863316511115,1.4687803389306953,4.641311748994348e-13,4.697246437815219,2.466958096216006,-7.0703125,-137.29368109259832
N=S(N[SH][SH]1(CP)NN[PH]1C1=CC=C1)N1NPC2=CC(C(F)=[SH][S](F)F)=CC21Cl,2.511459674119949,0.5624449972425898,1.4125579294852701,1.0339970473940844e-15,4.829433654257814,2.931804691252272,-9.578125,-136.97393725572394
C[P](P)(PN1ONN[PH]1C1=CC=C1)N1PC2=CC(C(F)=[SH]S(=N)PO)=CC21Cl,2.5463250681559244,0.5573607294226687,1.4192215973346125,8.995127234213973e-13,4.997188050806409,1.6030325559965526,-12.6328125,-139.36303590388349
NO[S](N1ONN[PH]1C1=CC=C1)[N+]1PC2=CC(C(F)=[SH][SH](P)[SH]P)=CC21Cl,2.509577669620514,0.5752167329107721,1.443551068104941,3.165848117513137e-13,4.414041658503409,1.1197269961691827,-6.08984375,-121.13172281466366
N=S(PN1ONN[PH]1C1=CC=C1)N1PC2=CC(C(F)=[SH][SH](P)SN)=CC21Cl,2.478638993215561,0.5927320649797718,1.4691688087880421,1.0649366727980014e-16,4.519945397543375,1.0,-8.0,-153.05187442534745
CPCC[SH]1([SH](C)[SH](O)N2PC3=CC(C(F)=[SH][S](F)F)=CC32Cl)NN[PH]1C1=CC=C1,2.566779059950511,0.558185666501522,1.4327392803406263,7.927463373247345e-12,4.751344472909234,2.5673094950647997,-11.46875,-160.63604612950556
CPC[SH]1([SH](CF)[SH](O)N2PC3=CC(C(F)=[SH][S](F)F)=CC32Cl)NN[PH]1C1=CC=C1,2.5434740698973344,0.5591316665783524,1.4221368956005214,6.973423921641242e-11,4.450409178774026,1.4720077071235398,-10.71875,-149.4409409337722
C[S](P[SH](P)N1ONN[PH]1C1=CC=C1)[SH]=C(F)C1=CC2(Cl)C(=C1)PPN2OF,2.4312015996456147,0.5943822009409467,1.4450629577285108,4.225580302330556e-11,4.533488029130658,1.336382921710146,-9.234375,-152.78300113342718
N=S(CF)[SH]=C(F)C1=CC2(Cl)C(=C1)PP[N+]2N(N)PPN1ONN[PH]1C1=CC=C1,2.4661114712715158,0.5801753328169387,1.430777043608622,3.808008595951318e-12,4.957003595935873,1.1156750043988062,-7.609375,-130.93225744548502
N=S(Cl)[SH]=C(F)C1=CC2(Cl)C(=C1)PO[N+]2P(OOP)PN1ONN[PH]1C1=CC=C1,2.519085006888707,0.578537236084186,1.457384477346505,2.4812596909843526e-14,4.827802998482431,1.849023403638184,-6.48046875,-150.987875776667
N=S([SH]=C(F)C1=CC2(Cl)C(=C1)PN2O)[SH](O)NPN1ONN[PH]1PC1=CC=C1,2.46429267226855,0.6121123337422809,1.508423938646304,2.7167221597346192e-11,4.995355596056643,3.282563194452801,-7.4609375,-154.9586159254196
FON1PPC2=CC(C(F)[S](Br)[SH](OP)N3NPN[PH]3C3=CC=C3)=CC21Cl,2.5407049366315206,0.5839136666711421,1.483552335477983,6.842795427508541e-12,4.654964568054796,3.3949119168115782,-7.1015625,-141.74313678049327
N=S(P)[SH]=C(F)C1=CC2(Cl)C(=C1)PN2NN(F)PPN1ONN[PH]1C1=CC=C1,2.5735619957288103,0.5691297314802806,1.4646906475769927,3.8205560676934924e-13,4.824119624872699,2.637326507172581,-8.34375,-149.20858733992648
N=S(CN1ONN[PH]1C1=CC=C1)N1PC2=CC(C(F)=[SH][SH](P)[SH]S)=CC21Cl,2.515924335082372,0.589600732455651,1.4833908307675634,4.1500246901826437e-16,4.220634728508543,2.3155273649712713,-7.12109375,-139.55896220577327
N=S(N1PPC2=CC(C(F)=[SH][S](F)F)=CC21Cl)[SH](P)N1ONN[PH]1C1=CC=C1,2.418069060389201,0.6045716666246455,1.4618960418529898,2.3872361539271046e-15,4.163105355601758,3.930573604899716,-7.55859375,-138.3885034951658
N=S(NPN1ONN[PH]1C1=CC=C1)[SH](P)N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl,2.47957439549764,0.6246516652320823,1.5488702752144345,5.2316590187610756e-14,4.635832247749668,5.253602199227073,-5.9140625,-152.70261154443313
N=S(P)[SH]=C(F)C1=CC2(Cl)C(=C1)P[N+]2S(=N)CPN1ONN[PH]1C1=CC=C1,2.459741669034958,0.5790467308575908,1.4243053722088865,7.360431708569593e-11,4.5206216248367985,1.923455739084769,-7.03125,-131.2627190024544
FC(=[SH][S](P)[SH](CP)N1ONN[PH]1C1=CC=C1)C1=CC2(Cl)NPPC2=C1,2.489244668722153,0.6051320673425993,1.5063217725053801,1.620095377297126e-11,4.592323084802837,1.0,-8.875,-142.4509276956678
N=S(Cl)[SH]=C(F)C1=CC2(Cl)C(=C1)P[N+]2(OPSN1ONN[PH]1C1=CC=C1)PCl,2.4668146624565126,0.6195562364902525,1.5283304083905296,6.29282448372237e-09,4.914310908627884,1.0,-5.1796875,-124.53767734823295
N=S([SH]=C(F)C1=CC2(Cl)C(=C1)PN2OF)[SH](O)CPN1ONN[PH]1POC1=CC=C1,2.4660410065174108,0.6021432387825278,1.4849099186349186,9.700692474033158e-16,4.3977808439131305,3.090117599918366,-8.28125,-177.62944577685343
N=S([SH][SH](PF)N1ONN[PH]1C1=CC=C1)[SH]=C(F)C1=CC2(Cl)C(=C1)PN2OF,2.4315443386554723,0.5937076672439774,1.4436265171034401,4.561972761357724e-12,4.656596803033109,1.4657097996742516,-7.76953125,-154.6306754297849
