SMILES,ExcitationEnergy,OscillatorStrength,score,RAscore,SCScore,SAscore,FSScore,SYBA,Bertz,Whitlock,Barone,TWC,SMCM,Bottcher,Spacial
OOOO[S](NF)ON(O)N1ON[PH]1N(O)PN1ONN[PH]1PN1O[PH]1C1=CC=C1,2.7601179241316665,1.1200779898527593,3.091547336217968,1.4749889677700969e-12,4.9964762309758655,1.2544616029914,-7.60546875,-85.24067100448931,663.0080396156634,58,558,12.703939313427979,57.998000000000005,542.7327544224287,969
OOOO[S](NPF)ON(O)N1ON[PH]1N(O)PN1NPN[PH]1PC1=CC=C1,2.638718315939676,1.0986903666128716,2.899134393927862,1.0402914973894896e-08,4.999887078855858,1.0649638548228406,-8.09375,-112.34381676042096,575.2275148709839,52,492,11.608146383160248,53.412,450.2001732081349,777
OOO[S](NF)ON(O)N1ON[PH]1N(O)PN1NPPN[PH]1PC1=CC=C1,2.6153694180375053,1.1029874231540495,2.884719574997094,1.3041943913716378e-10,4.8792776575401176,2.8165949823108747,-5.7578125,-104.86894332537928,559.3884030569286,51,486,11.198038163208919,52.115,436.3863920169178,789
OOO[S](NF)ON(O)N1ON[PH]1N(O)PN1ONN[PH]1PNN1ONN[PH]1C1=CC=C1,2.5867811984675275,1.112440135291881,2.8776392263937103,2.002119071930781e-15,4.931814206888184,2.912406437387532,-6.703125,-84.33078643787275,694.7910529916412,58,594,13.272604329468946,60.261,557.5011540560291,963
OOOOOO[SH](N=CON(F)N1ONN[PH]1C1=CC=C1)OP1PPN[PH]1OF,2.6634886775732043,1.074979806932665,2.8631965443849823,9.581886672993534e-11,4.27869384709086,1.097349466365011,-8.0078125,-123.0579336635144,617.3187309340977,54,528,11.847141343363226,54.96099999999999,476.5180683178242,870
OOOOO[SH](NP1PPN[PH]1OO)N[S](OO)ON(F)N1ONN[PH]1C1=CC=C1,2.69379266184436,1.039706546839409,2.80075386634754,2.2578531115868827e-06,4.106252684555908,3.859400578311962,-7.56640625,-103.66365078870184,608.1334098576959,54,534,12.305935177441917,55.29800000000001,477.99368620219667,900
NO[PH]1NPPP1N[SH](ON=CON(F)N1ONN[PH]1C1=CC=C1)OOOOO,2.6138020004749296,1.0699810839225847,2.7967186976271856,2.5543913650949435e-09,4.187769697506859,1.0,-8.65625,-117.03351788390214,615.5184618743175,54,528,11.83483660977807,55.80200000000001,488.30885823136566,866
NOO[S](NNP1PN[PH]1OO)OPS[S](ON)ON(F)N1ONN[PH]1C1=CC=C1,2.5365382874055347,1.096048149208228,2.7801680953066445,3.0764522873649724e-12,4.275794265211958,1.2123532659048513,-6.51171875,-117.09167977146149,608.554429601965,52,516,12.262450881802048,55.24200000000001,515.7816358444506,831
ON(O[S](N[SH][SH](PSF)SP)OOPOSF)N1ONN[PH]1C1=CC=C1,2.476507728445857,1.1212704180108173,2.7768348558815057,1.8217008847590255e-13,4.097190717062151,1.0,-1.498046875,-117.58331751879824,510.70743558873875,45,450,11.043983592475803,50.458,437.2175619953392,612
ON(O[S](N[SH][SH](PSF)SP)OONPF)N1ONN[PH]1C1=CC=C1,2.453100727268388,1.1299976840443076,2.771998140540685,1.631578205874007e-11,4.35948921547285,1.0,-2.076171875,-121.9535019334061,494.80164109715076,44,438,10.660374647006408,49.437000000000005,420.7734367457843,600
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SN[S](OO)OP1PPN[PH]1OO,2.4947622453549894,1.104279546716147,2.754914921465165,4.7237228018026656e-11,4.346770528632536,2.250156176380564,-5.02734375,-99.91413872871482,578.7212774443072,50,498,11.50732146317606,51.56599999999999,472.80746739341373,831
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SONN[S](OO)OP1PPN[PH]1OO,2.467094242762797,1.1056835466259056,2.727825512198322,2.0907178766016443e-10,4.43261674046646,1.0,-5.27734375,-109.70533736651193,610.5544296019651,52,522,12.250640040067147,55.67099999999999,507.6049547772901,855
ON(O[S](N[SH][SH](PSF)SP)OOOPSCl)N1ONN[PH]1C1=CC=C1,2.449807658477952,1.0981541287899013,2.690266394898684,1.2185590806800678e-13,3.982338780787291,1.2475175189727716,-2.630859375,-124.08359170845704,512.7074355887387,45,450,11.043983592475803,50.11500000000001,429.5215681822294,612
