SMILES,ExcitationEnergy,OscillatorStrength,score,RAscore,SCScore,SAscore,FSScore,SYBA
OOOO[S](NF)ON(O)N1ON[PH]1N(O)PN1ONN[PH]1PN1O[PH]1C1=CC=C1,2.7601179241316665,1.1200779898527593,3.091547336217968,1.4749889677700967e-12,4.9964762309758655,1.2544616029914,-7.60546875,-85.24067100448931
OOOO[S](NPF)ON(O)N1ON[PH]1N(O)PN1NPN[PH]1PC1=CC=C1,2.638718315939676,1.0986903666128716,2.899134393927862,1.0402914973894895e-08,4.999887078855858,1.0649638548228406,-8.09375,-112.34381676042096
OOO[S](NF)ON(O)N1ON[PH]1N(O)PN1NPPN[PH]1PC1=CC=C1,2.6153694180375053,1.1029874231540495,2.884719574997094,1.304194391371638e-10,4.8792776575401176,2.8165949823108747,-5.7578125,-104.86894332537929
OOO[S](NF)ON(O)N1ON[PH]1N(O)PN1ONN[PH]1PNN1ONN[PH]1C1=CC=C1,2.5867811984675275,1.112440135291881,2.8776392263937103,2.002119071930781e-15,4.931814206888184,2.9124064373875314,-6.703125,-84.33078643787275
OOOOOO[SH](N=CON(F)N1ONN[PH]1C1=CC=C1)OP1PPN[PH]1OF,2.6634886775732043,1.074979806932665,2.8631965443849823,9.581886672993534e-11,4.27869384709086,1.097349466365011,-8.0078125,-123.0579336635144
OOOOO[SH](NP1PPN[PH]1OO)N[S](OO)ON(F)N1ONN[PH]1C1=CC=C1,2.69379266184436,1.039706546839409,2.8007538663475398,2.2578531115868827e-06,4.1062526845559075,3.859400578311962,-7.56640625,-103.66365078870184
NO[PH]1NPPP1N[SH](ON=CON(F)N1ONN[PH]1C1=CC=C1)OOOOO,2.6138020004749296,1.0699810839225847,2.7967186976271856,2.5543913650949435e-09,4.187769697506859,1.0,-8.65625,-117.03351788390214
NOO[S](NNP1PN[PH]1OO)OPS[S](ON)ON(F)N1ONN[PH]1C1=CC=C1,2.5365382874055347,1.096048149208228,2.7801680953066445,3.0764522873649724e-12,4.275794265211958,1.2123532659048513,-6.51171875,-117.09167977146147
ON(O[S](N[SH][SH](PSF)SP)OOPOSF)N1ONN[PH]1C1=CC=C1,2.476507728445857,1.1212704180108173,2.7768348558815057,1.8217008847590255e-13,4.097190717062151,1.0,-1.498046875,-117.58331751879824
ON(O[S](N[SH][SH](PSF)SP)OONPF)N1ONN[PH]1C1=CC=C1,2.453100727268388,1.1299976840443076,2.771998140540685,1.631578205874007e-11,4.35948921547285,1.0,-2.076171875,-121.9535019334061
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SN[S](OO)OP1PPN[PH]1OO,2.4947622453549894,1.104279546716147,2.754914921465165,4.7237228018026656e-11,4.346770528632536,2.250156176380564,-5.02734375,-99.91413872871482
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SONN[S](OO)OP1PPN[PH]1OO,2.467094242762797,1.1056835466259056,2.727825512198322,2.0907178766016443e-10,4.43261674046646,1.0,-5.27734375,-109.70533736651193
ON(O[S](N[SH][SH](PSF)SP)OOOPSCl)N1ONN[PH]1C1=CC=C1,2.449807658477952,1.0981541287899013,2.6902663948986834,1.2185590806800678e-13,3.982338780787291,1.2475175189727716,-2.630859375,-124.08359170845705
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SPO[S](ON)N1NPP[PH]1OO,2.524990605965528,1.0590551262636978,2.674104245015473,1.9926980204809652e-11,4.221386415111525,2.8698549684554955,-5.5390625,-100.42971394067796
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SNONO[SH](NP1PN[PH]1OO)OOO,2.454455592457453,1.0644433912747433,2.6126290345686707,6.400064506140168e-11,4.319141265834784,4.055741714048557,-5.9921875,-119.7664038749123
OOO[S](N[SH]SP1PPN[PH]1OO)ON(F)N1ONN[PH]1C1=CC=C1,2.4776185784416964,1.053710261336631,2.610692119782292,3.9212255664722306e-10,4.175221885932338,3.527391930197032,-4.87890625,-97.82220496800659
ON(O[S](N[SH][SH](CP)PF)OONPP)N1ONN[PH]1C1=CC=C1,2.4787603287092703,1.039309102051906,2.5761981714327193,8.272984380885973e-11,4.76017616489788,1.0,-7.40234375,-116.35806990161312
OOOOOO[SH](NP1PN[PH]1OO)OP=CON(F)N1ONN[PH]1C1=CC=C1,2.563520001769066,1.0045418581453107,2.5751631459697677,2.0943049378052692e-11,3.9809297024870407,7.908818367372165,-8.828125,-120.0660321483664
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SNNO[SH](NNP1PN[PH]1OO)OOO,2.386401196400324,1.078136546290252,2.5728663439499706,5.913766004672638e-11,4.359158683794865,2.9469047788163465,-5.359375,-120.62547162902368
OOOO[SH](NP1PPN[PH]1OO)ONN=CON(F)N1ONN[PH]1C1=CC=C1,2.476883598939578,1.0377077491710585,2.5702813044143,2.52265981544042e-05,3.7888634350654913,3.727755593471329,-6.28125,-115.02548978990873
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SSNNO[SH](O)NP1PN[PH]1OOO,2.387828508670402,1.0757487244599395,2.5687034724312645,9.968104466850924e-12,4.694917897415643,2.8421162782073326,-5.53515625,-124.80126087344281
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SSNNO[SH](NP1PN[PH]1O)OOO,2.389844268051783,1.0681905580951103,2.5528090824506346,2.009259729082724e-13,4.63435989155097,2.8421162782076417,-5.84375,-120.2395881564088
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SSNNO[SH](NP1PN[PH]1OO)OO,2.354468508060051,1.083520724534326,2.55111542374648,5.793001495169037e-12,4.5482070908025936,1.6999519405265806,-4.38671875,-114.97159008808225
OOOOOO[S](NP1PPN[PH]1OO)ON[SH]=CON(F)N1ONN[PH]1C1=CC=C1,2.491016260759036,1.0176326823795836,2.534939559287378,3.318657154638416e-11,4.421971862750084,3.4941148120099212,-9.625,-111.54982338896774
OOOOOO[SH](NP1PN[PH]1OO)ON[SH]=CON(F)N1ONN[PH]1C1=CC=C1,2.481168265954653,1.020321793691814,2.5315900555700592,2.8349458197629573e-11,4.474417091653022,1.6554340779000825,-8.28125,-113.27606325949183
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SONNO[SH](O)NP1PN[PH]1OO,2.313754104549957,1.0843383244984677,2.5088922490291528,3.7607823105689775e-11,4.290359569022549,1.3555119604800936,-4.91015625,-116.39376266275754
OOO[PH]1NPPP1[SH](F)SN(O)SOOSN(S)N1ONC[PH]1C1=CC=C1,2.688398286331061,0.926018742334288,2.489507200001944,2.1974676300828833e-08,4.480288567789752,2.8854250026837542,-10.3828125,-116.59196301424818
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SN[SH](NOOCl)NP1PN[PH]1OO,2.593666234786583,0.9326036028862,2.418862475246252,1.795171927776451e-10,4.232087131621615,1.7633169694299058,-6.1875,-119.4254921745354
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SNO[SH](NP1PN[PH]1OO)ON,2.335964102561546,1.0338012383081847,2.414922581871594,4.4277384536606235e-10,4.262506480322683,1.3606772817096031,-4.359375,-106.97429673271846
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)S[SH](PO)PP1N[PH]1OOO,2.58190909007294,0.922015273412873,2.380559615610784,4.634953754134585e-08,4.890049578154796,1.0,-6.09765625,-105.01187706373054
