SMILES,ExcitationEnergy,OscillatorStrength,score,RAscore,SCScore,SAscore,FSScore,SYBA,Bertz,Whitlock,Barone,TWC,SMCM,Bottcher,Spacial
OP[SH](PN1ONN[PH]1C1=CC=C1)[SH]N1PC2=CC(C(F)=[SH][S](Cl)Cl)=CC21Cl,2.4189944047927856,0.6071863316511115,1.4687803389306953,4.641311748994348e-13,4.697246437815219,2.466958096216006,-7.0703125,-137.29368109259832,823.5395850602749,58,597,12.243463439145101,56.958,481.6479247944201,916
N=S(N[SH][SH]1(CP)NN[PH]1C1=CC=C1)N1NPC2=CC(C(F)=[SH][S](F)F)=CC21Cl,2.511459674119949,0.5624449972425898,1.41255792948527,1.0339970473940844e-15,4.829433654257814,2.931804691252272,-9.578125,-136.97393725572394,901.4626015402637,58,618,12.706420130939643,56.159,501.859975152166,950
C[P](P)(PN1ONN[PH]1C1=CC=C1)N1PC2=CC(C(F)=[SH]S(=N)PO)=CC21Cl,2.5463250681559244,0.5573607294226687,1.4192215973346125,8.995127234213973e-13,4.997188050806409,1.6030325559965526,-12.6328125,-139.36303590388349,887.5323969061345,63,600,12.450632012002742,60.441,504.2094214920562,957
NO[S](N1ONN[PH]1C1=CC=C1)[N+]1PC2=CC(C(F)=[SH][SH](P)[SH]P)=CC21Cl,2.509577669620514,0.5752167329107721,1.443551068104941,3.165848117513137e-13,4.414041658503409,1.1197269961691827,-6.08984375,-121.13172281466366,805.5530411351033,57,585,12.005925480651591,56.263,500.853034018739,880
N=S(PN1ONN[PH]1C1=CC=C1)N1PC2=CC(C(F)=[SH][SH](P)SN)=CC21Cl,2.478638993215561,0.5927320649797718,1.469168808788042,1.0649366727980014e-16,4.519945397543375,1.0,-8.0,-153.05187442534745,844.5088581265547,61,594,11.897830560241603,57.191,488.2878651897637,918
CPCC[SH]1([SH](C)[SH](O)N2PC3=CC(C(F)=[SH][S](F)F)=CC32Cl)NN[PH]1C1=CC=C1,2.566779059950511,0.558185666501522,1.4327392803406265,7.927463373247345e-12,4.751344472909234,2.5673094950648,-11.46875,-160.63604612950556,896.1290683508173,56,621,13.413176573484591,60.33,524.6618723126028,1032
CPC[SH]1([SH](CF)[SH](O)N2PC3=CC(C(F)=[SH][S](F)F)=CC32Cl)NN[PH]1C1=CC=C1,2.5434740698973344,0.5591316665783524,1.4221368956005214,6.973423921641242e-11,4.450409178774026,1.4720077071235398,-10.71875,-149.4409409337722,898.081208425953,57,624,13.437744874283423,60.443,538.276582156718,1032
C[S](P[SH](P)N1ONN[PH]1C1=CC=C1)[SH]=C(F)C1=CC2(Cl)C(=C1)PPN2OF,2.4312015996456147,0.5943822009409467,1.4450629577285108,4.225580302330556e-11,4.533488029130658,1.336382921710146,-9.234375,-152.78300113342718,823.0954777297015,59,594,12.072393322857751,59.50500000000001,515.4223623052374,940
N=S(CF)[SH]=C(F)C1=CC2(Cl)C(=C1)PP[N+]2N(N)PPN1ONN[PH]1C1=CC=C1,2.466111471271516,0.5801753328169387,1.430777043608622,3.808008595951318e-12,4.957003595935873,1.1156750043988062,-7.609375,-130.93225744548502,878.542951160237,62,609,12.562023434998958,60.91400000000001,496.46285956088445,945
N=S(Cl)[SH]=C(F)C1=CC2(Cl)C(=C1)PO[N+]2P(OOP)PN1ONN[PH]1C1=CC=C1,2.519085006888707,0.578537236084186,1.457384477346505,2.4812596909843526e-14,4.827802998482431,1.849023403638184,-6.48046875,-150.987875776667,883.41926199634,63,612,12.633759816241955,60.57599999999999,535.2731408876962,936
