Model,MoleculeID,SMILES,Canonical_SMILES,Energy_eV,OscillatorStrength_fL,Amplitude,Norm_SAScore,Norm_SCScore,Norm_RAScore,Norm_SYBA,Norm_Bertz,Norm_Barone,Norm_Bottcher,Norm_Spacial,SynthScore,ComplexityScore
MolDQN-MLP,mol000,[B]n1c(C=C2C=CC=N2)ccc1NN,[B]n1c(C=C2C=CC=N2)ccc1NN,3.462,1.284448,0.98,0.639,0.515,0.0,0.54,79.109,119.762,146.856,139.354,0.066,118.002
MolDQN-MLP,mol002,CNC12NOOC1C(C)=C(O)c1[nH]c3c(O)cn(B(F)F)c3c12,CNC12NOOC1C(C)=C(O)c1[nH]c3c(O)cn(B(F)F)c3c12,4.509,0.734425,0.95,0.487,0.095,0.0,0.493,633.909,643.713,781.569,1000.0,0.016,751.488
MolDQN-MLP,mol011,Cc1ccc2c(NO)c3c(n12)=C=CC=C3,Cc1ccc2c(NO)c3c(n12)=C=CC=C3,3.296,0.324844,0.93,0.637,0.466,0.002,0.391,390.681,308.385,256.936,145.458,0.129,259.042
MolDQN-MLP,mol014,C#Cn1ccc(OO)c1C=CC=C(C=C)C=N,C#Cn1ccc(OO)c1C=CC=C(C=C)C=N,3.572,1.601728,0.97,0.591,0.484,0.031,0.414,196.756,168.664,230.679,51.866,0.246,141.159
MolDQN-MLP,mol014,C#Cn1ccc(OO)c1C=CC=C(C=C)C=N,C#Cn1ccc(OO)c1C=CC=C(C=C)C=N,4.618,0.261316,-0.94,0.591,0.484,0.031,0.414,196.756,168.664,230.679,51.866,0.246,141.159
MolDQN-MLP,mol016,CC=CC(C)=Cc1cccn1B(F)CO,CC=CC(C)=Cc1cccn1B(F)CO,4.401,0.661221,-0.94,0.643,0.53,0.026,0.64,23.348,7.986,252.574,43.727,0.274,37.882
MolDQN-MLP,mol022,CSC(=C1C=CC=N1)c1cccn1B(F)F,CSC(=C1C=CC=N1)c1cccn1B(F)F,5.252,0.166222,0.94,0.634,0.417,0.0,0.59,141.644,175.65,252.739,192.255,0.056,186.466
MolDQN-MLP,mol026,Nc1c(O)cn2c3c(cc12)C=CC=C=3,Nc1c(O)cn2c3c(cc12)C=CC=C=3,1.71,0.187609,0.93,0.603,0.427,0.009,0.394,371.524,287.427,224.805,125.112,0.176,234.102
MolDQN-MLP,mol026,Nc1c(O)cn2c3c(cc12)C=CC=C=3,Nc1c(O)cn2c3c(cc12)C=CC=C=3,2.983,0.422688,0.94,0.603,0.427,0.009,0.394,371.524,287.427,224.805,125.112,0.176,234.102
MolDQN-MLP,mol031,[B]n1c(C=CC=CC=N)ccc1NC,[B]n1c(C=CC=CC=N)ccc1NC,3.886,0.176824,0.93,0.618,0.506,0.0,0.535,14.427,1.0,154.282,5.069,0.086,10.306
