SMILES,ExcitationEnergy,OscillatorStrength,score
OOOO[S](NF)ON(O)N1ON[PH]1N(O)PN1ONN[PH]1PN1O[PH]1C1=CC=C1,2.7601179241316665,1.1200779898527593,3.091547336217968
OOOO[S](NPF)ON(O)N1ON[PH]1N(O)PN1NPN[PH]1PC1=CC=C1,2.638718315939676,1.0986903666128716,2.899134393927862
OOO[S](NF)ON(O)N1ON[PH]1N(O)PN1NPPN[PH]1PC1=CC=C1,2.6153694180375053,1.1029874231540495,2.884719574997094
OOO[S](NF)ON(O)N1ON[PH]1N(O)PN1ONN[PH]1PNN1ONN[PH]1C1=CC=C1,2.5867811984675275,1.112440135291881,2.8776392263937103
OOOOOO[SH](N=CON(F)N1ONN[PH]1C1=CC=C1)OP1PPN[PH]1OF,2.6634886775732043,1.074979806932665,2.8631965443849823
OOOOO[SH](NP1PPN[PH]1OO)N[S](OO)ON(F)N1ONN[PH]1C1=CC=C1,2.69379266184436,1.039706546839409,2.8007538663475398
NO[PH]1NPPP1N[SH](ON=CON(F)N1ONN[PH]1C1=CC=C1)OOOOO,2.6138020004749296,1.0699810839225847,2.7967186976271856
NOO[S](NNP1PN[PH]1OO)OPS[S](ON)ON(F)N1ONN[PH]1C1=CC=C1,2.5365382874055347,1.096048149208228,2.7801680953066445
ON(O[S](N[SH][SH](PSF)SP)OOPOSF)N1ONN[PH]1C1=CC=C1,2.476507728445857,1.1212704180108173,2.7768348558815057
ON(O[S](N[SH][SH](PSF)SP)OONPF)N1ONN[PH]1C1=CC=C1,2.453100727268388,1.1299976840443076,2.771998140540685
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SN[S](OO)OP1PPN[PH]1OO,2.4947622453549894,1.104279546716147,2.754914921465165
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SONN[S](OO)OP1PPN[PH]1OO,2.467094242762797,1.1056835466259056,2.727825512198322
ON(O[S](N[SH][SH](PSF)SP)OOOPSCl)N1ONN[PH]1C1=CC=C1,2.449807658477952,1.0981541287899013,2.6902663948986834
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SPO[S](ON)N1NPP[PH]1OO,2.524990605965528,1.0590551262636978,2.674104245015473
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SNONO[SH](NP1PN[PH]1OO)OOO,2.454455592457453,1.0644433912747433,2.6126290345686707
OOO[S](N[SH]SP1PPN[PH]1OO)ON(F)N1ONN[PH]1C1=CC=C1,2.4776185784416964,1.053710261336631,2.610692119782292
ON(O[S](N[SH][SH](CP)PF)OONPP)N1ONN[PH]1C1=CC=C1,2.4787603287092703,1.039309102051906,2.5761981714327193
OOOOOO[SH](NP1PN[PH]1OO)OP=CON(F)N1ONN[PH]1C1=CC=C1,2.563520001769066,1.0045418581453107,2.5751631459697677
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SNNO[SH](NNP1PN[PH]1OO)OOO,2.386401196400324,1.078136546290252,2.5728663439499706
OOOO[SH](NP1PPN[PH]1OO)ONN=CON(F)N1ONN[PH]1C1=CC=C1,2.476883598939578,1.0377077491710585,2.5702813044143
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SSNNO[SH](O)NP1PN[PH]1OOO,2.387828508670402,1.0757487244599395,2.5687034724312645
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SSNNO[SH](NP1PN[PH]1O)OOO,2.389844268051783,1.0681905580951103,2.5528090824506346
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SSNNO[SH](NP1PN[PH]1OO)OO,2.354468508060051,1.083520724534326,2.55111542374648
OOOOOO[S](NP1PPN[PH]1OO)ON[SH]=CON(F)N1ONN[PH]1C1=CC=C1,2.491016260759036,1.0176326823795836,2.534939559287378
OOOOOO[SH](NP1PN[PH]1OO)ON[SH]=CON(F)N1ONN[PH]1C1=CC=C1,2.481168265954653,1.020321793691814,2.5315900555700592
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SONNO[SH](O)NP1PN[PH]1OO,2.313754104549957,1.0843383244984677,2.5088922490291528
OOO[PH]1NPPP1[SH](F)SN(O)SOOSN(S)N1ONC[PH]1C1=CC=C1,2.688398286331061,0.926018742334288,2.489507200001944
