SMILES,ExcitationEnergy,OscillatorStrength,score
O=CC(=O)CCC(F)(F)F,4.433,0.527,2.336191
NC(=O)N1CC1,3.465,0.6,2.0789999999999997
O=C1NC(O)CCCO1,3.001,0.643,1.929643
CS(=O)(=O)N1CCOCS1,7.198,0.262,1.885876
O=C[SH]1(=O)BC=CC=C1CCCC1CO1,6.149,0.298,1.8324019999999999
N#CC1=CC=C(S(=O)(=O)NO)CC1,6.589,0.248,1.6340720000000002
CC1C(=O)C(=O)N1CC=O,2.359,0.668,1.575812
CN1CCNC1,1.705,0.923,1.5737150000000002
O=CSNN1C=Cc2ccccc2C1,4.75,0.322,1.5295
O=CC(CO)NCC1=NCC=CC(F)=C1,3.964,0.374,1.482536
CN(C)C(=O)Oc1ccco1,5.847,0.253,1.4792910000000001
O=C1CCCc2ccccc21,3.627,0.395,1.432665
N#Cc1cccc(F)c1F,5.67,0.245,1.3891499999999999
CC1=NN=C2OCCCCC1CCCSCS2,3.915,0.318,1.2449700000000001
CN(CCO)CNC1=CC=C2CC(CCC1)C2,7.037,0.172,1.210364
COCCOC,2.618,0.452,1.183336
COC(C)C,1.84,0.607,1.11688
NC(=O)N1C(=O)NCCCCCN1NCCCN1CCOCC1,4.237,0.262,1.1100940000000001
CC(=O)CN(C)C,1.893,0.582,1.101726
CNC(=O)CO[O+]BP,6.168,0.176,1.0855679999999999
CCCCN(C)C,1.845,0.584,1.07748
COC(=O)N(C)C,5.411,0.186,1.006446
O=C1CC(F)O1,2.696,0.37,0.9975200000000001
COC1=CC=CC=C(C)CCCN1C1CCCCNCCCC1,1.251,0.772,0.965772
CCCN1CCCC1,1.995,0.48,0.9576
NC(=O)CCC(F)(F)F,1.607,0.595,0.9561649999999999
CN1CC(=O)C[ClH]N1,1.317,0.723,0.9521909999999999
NCC(=O)CC=O,4.959,0.189,0.937251
CN1CC(=O)CCCSCN1,1.342,0.691,0.927322
COC(=O)N1C[SH]=[SH]1,1.385,0.668,0.9251800000000001
COC1C=CC=CNC1=O,2.478,0.369,0.914382
CCC(=O)COC,2.478,0.369,0.914382
O=C1CNC(=O)NCBC(CNCCCCO)=N1,1.495,0.604,0.90298
CC(C)(C)C(=O)N1CCC1,1.583,0.56,0.88648
[O-][NH+]1CCCC1,1.659,0.53,0.8792700000000001
COCCOC(=O)c1cccc(C)c1,1.792,0.469,0.840448
CC(C)=O,1.365,0.612,0.83538
COC(=O)CNC1=CC=C(C)C(=O)C1CCCCC1CCNNC1,2.297,0.357,0.820029
COC(=O)CNN1CCCCn2[nH]c(c2Cl)COCN1,4.675,0.175,0.8181249999999999
CC(=O)C(C)C,1.358,0.6,0.8148000000000001
O=C1CSc2ccc(Br)cc2C1,2.588,0.313,0.810044
O=C1CCCCCNC1=O,2.391,0.326,0.779466
CN1CNC(=O)C(=O)O1,5.659,0.132,0.746988
CCN1OC1=O,1.623,0.457,0.741711
O=[B-]CNNN1CCC1,2.341,0.303,0.709323
O=C(O)N1C=CN(Br)CCCNCCC1,2.341,0.303,0.709323
O=C1CCB[N+]OCC1=O,2.341,0.303,0.709323
COC(=O)C1CCO1,2.842,0.249,0.707658
O=C1NCPCCCCS1,1.885,0.373,0.703105
CN1CC(=O)NCCC1=O,3.595,0.191,0.6866450000000001
