SMILES,ExcitationEnergy,OscillatorStrength,score
C[SH](C)(=O)F,6.241,0.485,3.0268849999999996
CC1(C)CC1,6.981,0.412,2.876172
CC1(CC(F)(F)F)N=NC(N)O1,6.995,0.385,2.693075
CCOOCC1=CCCC(=O)N1CO,6.887,0.377,2.596399
CCNC(=O)CCCC(=O)c1ccc(F)cc1Cl,6.998,0.319,2.232362
CCCC(=O)Sc1ncc(O)nn1,6.96,0.32,2.2272
CCCCCC(C)O,6.216,0.357,2.219112
NC(=O)C(N)=O,6.1,0.341,2.0801
CCCC,9.269,0.189,1.751841
O=CC(=O)C1CC1O,9.27,0.188,1.7427599999999999
CCCNCCCC1CCONC1,9.287,0.183,1.699521
Cc1ccc(S(C(=O)O)=S(=O)(O)C(C)C)c(C)c1,6.86,0.242,1.66012
CCCCC1COCCCN(C=O)C1,6.101,0.26,1.58626
CCCCSC1=NN(C)CCCCCCCC2=CC(=C1)NN=CN(CC)CCC2=O,6.187,0.249,1.5405630000000001
CCOC1CC1CCCCC1c2cc(Br)ccc2C2=CN=C(C2)C(=O)C2CCCN1CCCCCC(=O)CSCC[N+]CN2,8.06,0.188,1.5152800000000002
CC(CCC=O)CCCC1C(=O)N1CCOCCCN1CCCCCC1,8.21,0.181,1.48601
CC[SH]1CCCCN(CNC(=O)C(=O)CC(C)(C)C)CN1,8.21,0.179,1.4695900000000002
CCCCCCOCC(=O)N1CCCC1,7.505,0.188,1.41094
CC1=CC(=[N+]NN2CC3CC=CC(=N3)OCCN(C)CCCN2)C=C1,6.076,0.232,1.409632
C[BrH]NC(=O)c1ccc(C2(C(F)(F)F)CS2(=O)=O)cc1,5.801,0.241,1.398041
COCCOC(=O)OC,7.579,0.184,1.394536
CC[SH]1CCC2CCCN2CCCN(CO)CCCN1,8.21,0.168,1.3792800000000003
CNS(=O)(=O)COC(=O)C1=CC=C(C)C(C)=CS1,6.122,0.206,1.261132
O=C1CCNC(=O)OOC1,6.241,0.189,1.179549
Cn1ncnc([SH]=O)c1=O,7.062,0.16,1.12992
CC[P+]BCCC1=ON=CN=CC1,6.326,0.178,1.1260279999999998
CC1=CN=CCN1CC1CC1,7.368,0.147,1.083096
CN1CN2CCCCCCCCCCCC(=O)C(CCC(=O)O1)C2,7.028,0.147,1.033116
CNC(=O)n1cc(N(C)C)nn1,7.2,0.143,1.0295999999999998
C=C1N=C2N=NCN2CCCNC(=O)ON1C1=CC(O)C1,7.099,0.143,1.0151569999999999
CC1=NN=CC2=C(F)CCN12,7.067,0.143,1.010581
CCNC(=O)CCCCN1CCN(C)C=C(Cl)C=N1,6.933,0.144,0.9983519999999999
CC1CCO1,6.978,0.143,0.9978539999999999
CCC1=NN=NC1CCNC1=CC=CC2=COSC(=NC2)C2=CC=CC2=C1,6.174,0.159,0.981666
Cc1ccc(F)cc1,7.005,0.14,0.9807000000000001
COC(=O)C(C)[SH]1C=CC(CO)C1,7.045,0.139,0.9792550000000001
CN1CCCC(=O)C2=CC=C(C3CCN(C(C)(C)C)C(=O)N3)C(=N1)CCNC=C2,7.075,0.138,0.97635
CNC(=O)N(C)CCC1CCCOC(=O)NC1C,6.962,0.139,0.9677180000000001
CCCOCCNC(=O)N(O)CCN(C)C(=O)N1CCCC1,6.977,0.137,0.9558490000000002
Cc1ccc2n(CCCN3CC(=O)CCN3CC(N)=O)cc(c(C)c1)C=CC=C2,6.968,0.137,0.954616
O=C1OOCN(=O)CN1c1ccccn1,7.069,0.134,0.947246
CCCOc1cccc(O)c1Cl,6.1,0.148,0.9027999999999999
CCc1c2c(O)cc(C(O)O)c1CCC(C1=CC=C3CC3=CC=CC=C(O)C1)=CC=C2,5.967,0.146,0.8711819999999999
CCN(C)n1ccsc1=O,6.1,0.142,0.8661999999999999
COC1=CC=C2CCCC(CC2)CN(C(=O)C(C)(C)C)C1,6.884,0.125,0.8605
CCCCNC,5.968,0.144,0.8593919999999999
CCCN1(C(=O)C2CCCCC2)C(C)CCN1C,5.523,0.146,0.8063579999999999
COC1=CC(CC(=O)NC(=O)OCCCCC2CCCN(C(=O)CN)O2)=C1,7.068,0.113,0.798684
CCC(C)OC,6.788,0.116,0.7874080000000001
CCCCOC,5.512,0.142,0.7827039999999998
